1,2,26.02
2,1,26.02
1,3,21.57
3,1,21.57
1,4,19.72
4,1,19.72
1,5,16.39
5,1,16.39
1,6,14.89
6,1,14.89
1,7,15.88
7,1,15.88
1,8,16.39
8,1,16.39
1,9,19.23
9,1,19.23
1,10,17.65
10,1,17.65
1,11,18.07
11,1,18.07
1,12,18.67
12,1,18.67
1,13,16.64
13,1,16.64
1,14,22.39
14,1,22.39
1,15,26.83
15,1,26.83
1,16,16.88
16,1,16.88
1,17,16.34
17,1,16.34
1,18,15.15
18,1,15.15
1,19,17.15
19,1,17.15
1,20,14.89
20,1,14.89
1,21,9.22
21,1,9.22
1,22,10.10
22,1,10.10
1,23,6.57
23,1,6.57
1,24,7.64
24,1,7.64
1,25,7.41
25,1,7.41
1,26,9.13
26,1,9.13
1,27,6.06
27,1,6.06
1,28,4.74
28,1,4.74
1,29,2.72
29,1,2.72
1,30,7.69
30,1,7.69
1,31,24.61
31,1,24.61
1,32,21.09
32,1,21.09
1,33,17.72
33,1,17.72
1,34,20.15
34,1,20.15
1,35,24.39
35,1,24.39
1,36,18.77
36,1,18.77
1,37,35.78
37,1,35.78
1,38,33.97
38,1,33.97
1,39,35.13
39,1,35.13
1,40,29.60
40,1,29.60
1,41,25.24
41,1,25.24
2,3,7.25
3,2,7.25
2,4,11.20
4,2,11.20
2,5,10.59
5,2,10.59
2,6,13.61
6,2,13.61
2,7,9.95
7,2,9.95
2,8,9.39
8,2,9.39
2,9,7.16
9,2,7.16
2,10,8.13
10,2,8.13
2,11,14.40
11,2,14.40
2,12,15.73
12,2,15.73
2,13,13.83
13,2,13.83
2,14,6.82
14,2,6.82
2,15,13.84
15,2,13.84
2,16,13.81
16,2,13.81
2,17,17.46
17,2,17.46
2,18,16.18
18,2,16.18
2,19,16.96
19,2,16.96
2,20,15.99
20,2,15.99
2,21,17.75
21,2,17.75
2,22,21.51
22,2,21.51
2,23,19.97
23,2,19.97
2,24,21.26
24,2,21.26
2,25,20.64
25,2,20.64
2,26,19.29
26,2,19.29
2,27,23.15
27,2,23.15
2,28,21.67
28,2,21.67
2,29,33.14
29,2,33.14
2,30,33.65
30,2,33.65
2,31,9.86
31,2,9.86
2,32,20.39
32,2,20.39
2,33,21.43
33,2,21.43
2,34,19.45
34,2,19.45
2,35,9.48
35,2,9.48
2,36,23.32
36,2,23.32
2,37,9.76
37,2,9.76
2,38,10.03
38,2,10.03
2,39,30.09
39,2,30.09
2,40,17.00
40,2,17.00
2,41,11.51
41,2,11.51
3,4,5.18
4,3,5.18
3,5,4.57
5,3,4.57
3,6,7.45
6,3,7.45
3,7,3.79
7,3,3.79
3,8,3.38
8,3,3.38
3,9,3.66
9,3,3.66
3,10,2.78
10,3,2.78
3,11,6.56
11,3,6.56
3,12,7.89
12,3,7.89
3,13,6.00
13,3,6.00
3,14,7.74
14,3,7.74
3,15,14.45
15,3,14.45
3,16,12.46
16,3,12.46
3,17,9.62
17,3,9.62
3,18,8.35
18,3,8.35
3,19,10.80
19,3,10.80
3,20,12.44
20,3,12.44
3,21,11.59
21,3,11.59
3,22,15.35
22,3,15.35
3,23,13.95
23,3,13.95
3,24,15.24
24,3,15.24
3,25,14.62
25,3,14.62
3,26,13.27
26,3,13.27
3,27,17.13
27,3,17.13
3,28,15.65
28,3,15.65
3,29,26.98
29,3,26.98
3,30,27.49
30,3,27.49
3,31,14.82
31,3,14.82
3,32,19.27
32,3,19.27
3,33,14.51
33,3,14.51
3,34,18.33
34,3,18.33
3,35,13.26
35,3,13.26
3,36,18.64
36,3,18.64
3,37,16.60
37,3,16.60
3,38,13.87
38,3,13.87
3,39,29.33
39,3,29.33
3,40,20.33
40,3,20.33
3,41,14.12
41,3,14.12
4,5,0.61
5,4,0.61
4,6,4.70
6,4,4.70
4,7,1.97
7,4,1.97
4,8,1.49
8,4,1.49
4,9,5.40
9,4,5.40
4,10,3.82
10,4,3.82
4,11,4.94
11,4,4.94
4,12,5.94
12,4,5.94
4,13,5.27
13,4,5.27
4,14,8.16
14,4,8.16
4,15,11.08
15,4,11.08
4,16,9.51
16,4,9.51
4,17,7.07
17,4,7.07
4,18,6.14
18,4,6.14
4,19,5.59
19,4,5.59
4,20,11.21
20,4,11.21
4,21,5.74
21,4,5.74
4,22,11.20
22,4,11.20
4,23,9.72
23,4,9.72
4,24,9.72
24,4,9.72
4,25,10.39
25,4,10.39
4,26,7.75
26,4,7.75
4,27,12.90
27,4,12.90
4,28,10.02
28,4,10.02
